bands,bytes,ext,height,image_error,kind,mb,mode,path,width
3,3054,.png,103,,extracted,0.003,RGB,data/processed/extracted_minimal/browse/calibrated/20200913/ch2_sar_ncls_20200913t042439405_b_brw_xx_fp_xx_d18.png,78
,4212,.xml,,,extracted,0.004,,data/processed/extracted_minimal/browse/calibrated/20200913/ch2_sar_ncls_20200913t042439405_b_brw_xx_fp_xx_d18.xml,
1,8630887,.png,10107,,extracted,8.231,L,data/processed/extracted_minimal/browse/calibrated/20260103/ch2_ohr_ncp_20260103T0609041371_b_brw_d18.png,1200
,4770,.xml,,,extracted,0.005,,data/processed/extracted_minimal/browse/calibrated/20260103/ch2_ohr_ncp_20260103T0609041371_b_brw_d18.xml,
1,8180505,.png,10107,,extracted,7.802,L,data/processed/extracted_minimal/browse/calibrated/20260103/ch2_ohr_ncp_20260103T1005176450_b_brw_d18.png,1200
,4770,.xml,,,extracted,0.005,,data/processed/extracted_minimal/browse/calibrated/20260103/ch2_ohr_ncp_20260103T1005176450_b_brw_d18.xml,
1,436324,.png,7971,,extracted,0.416,L,data/processed/extracted_minimal/browse/derived/20250426/ch2_tmc_ndn_20250426T0752081453_b_bdt_d18.png,349
,4842,.xml,,,extracted,0.005,,data/processed/extracted_minimal/browse/derived/20250426/ch2_tmc_ndn_20250426T0752081453_b_bdt_d18.xml,
1,5470436,.png,15942,,extracted,5.217,L,data/processed/extracted_minimal/browse/derived/20250426/ch2_tmc_ndn_20250426T0752081453_b_bot_d18.png,699
,4862,.xml,,,extracted,0.005,,data/processed/extracted_minimal/browse/derived/20250426/ch2_tmc_ndn_20250426T0752081453_b_bot_d18.xml,
1,2420016,.tif,3490,,extracted,2.308,F,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_in_fp_xx_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_xx_fp_hh_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_xx_fp_hv_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_xx_fp_vh_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_xx_fp_vv_d18.tif,169
,18703,.xml,,,extracted,0.018,,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_gri_xx_fp_xx_d18.xml,
1,3232860,.tif,1032,,extracted,3.083,F,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_in_fp_xx_d18.tif,781
1,814884,.tif,1032,,extracted,0.777,L,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_ma_fp_xx_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_xx_fp_hh_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_xx_fp_hv_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_xx_fp_vh_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_xx_fp_vv_d18.tif,781
,22433,.xml,,,extracted,0.021,,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_d_sri_xx_fp_xx_d18.xml,
1,2420016,.tif,3490,,extracted,2.308,F,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_in_fp_xx_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_xx_fp_hh_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_xx_fp_hv_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_xx_fp_vh_d18.tif,169
1,1240396,.tif,3490,,extracted,1.183,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_xx_fp_vv_d18.tif,169
,18708,.xml,,,extracted,0.018,,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_gri_xx_fp_xx_d18.xml,
1,3232860,.tif,1032,,extracted,3.083,F,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_in_fp_xx_d18.tif,781
1,814884,.tif,1032,,extracted,0.777,L,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_ma_fp_xx_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_xx_fp_hh_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_xx_fp_hv_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_xx_fp_vh_d18.tif,781
1,1620876,.tif,1032,,extracted,1.546,I;16,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_xx_fp_vv_d18.tif,781
,22438,.xml,,,extracted,0.021,,data/processed/extracted_minimal/data/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_d_sri_xx_fp_xx_d18.xml,
,8892,.xml,,,extracted,0.008,,data/processed/extracted_minimal/data/calibrated/20260103/ch2_ohr_ncp_20260103T0609041371_d_img_d18.xml,
,8893,.xml,,,extracted,0.008,,data/processed/extracted_minimal/data/calibrated/20260103/ch2_ohr_ncp_20260103T1005176450_d_img_d18.xml,
,558116227,.tif,,"DecompressionBombError: Image size (278738876 pixels) exceeds limit of 178956970 pixels, could be decomp",extracted,532.261,,data/processed/extracted_minimal/data/derived/20250426/ch2_tmc_ndn_20250426T0752081453_d_dtm_d18.tif,
,9892,.xml,,,extracted,0.009,,data/processed/extracted_minimal/data/derived/20250426/ch2_tmc_ndn_20250426T0752081453_d_dtm_d18.xml,
,2233100269,.tif,,"DecompressionBombError: Image size (1115274336 pixels) exceeds limit of 178956970 pixels, could be decom",extracted,2129.65,,data/processed/extracted_minimal/data/derived/20250426/ch2_tmc_ndn_20250426T0752081453_d_oth_d18.tif,
,9883,.xml,,,extracted,0.009,,data/processed/extracted_minimal/data/derived/20250426/ch2_tmc_ndn_20250426T0752081453_d_oth_d18.xml,
,1845951,.csv,,,extracted,1.76,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_g_gri_xx_fp_xx_d18.csv,
,11522,.xml,,,extracted,0.011,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_g_oat_xx_fp_xx_d18.xml,
,2487354,.csv,,,extracted,2.372,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_g_sri_xx_fp_xx_d18.csv,
,12041,.xml,,,extracted,0.011,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxl_20200913t042439405_g_xxx_xx_fp_xx_d18.xml,
,1845951,.csv,,,extracted,1.76,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_g_gri_xx_fp_xx_d18.csv,
,11522,.xml,,,extracted,0.011,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_g_oat_xx_fp_xx_d18.xml,
,2487354,.csv,,,extracted,2.372,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_g_sri_xx_fp_xx_d18.csv,
,12042,.xml,,,extracted,0.011,,data/processed/extracted_minimal/geometry/calibrated/20200913/ch2_sar_ncxs_20200913t042439405_g_xxx_xx_fp_xx_d18.xml,
,4255725,.csv,,,extracted,4.059,,data/processed/extracted_minimal/geometry/calibrated/20260103/ch2_ohr_ncp_20260103T0609041371_g_grd_d18.csv,
,6208,.xml,,,extracted,0.006,,data/processed/extracted_minimal/geometry/calibrated/20260103/ch2_ohr_ncp_20260103T0609041371_g_grd_d18.xml,
,4255725,.csv,,,extracted,4.059,,data/processed/extracted_minimal/geometry/calibrated/20260103/ch2_ohr_ncp_20260103T1005176450_g_grd_d18.csv,
